stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
457,,Bulevar Svetog Petra Cetinjskog II (B),,42.442445,19.249951,,,,,,
458,,Franca Rozmana (B),,42.45131778,19.29150945,,,,,,
459,,Ćukovica brijeg (B),,42.43692527,19.26601413,,,,,,
463,,Lopate (A),,42.652999,19.485558,,,,,,
470,,Pribojevići,,42.400333,19.108222,,,,,,
471,,Staniseljići,,42.405222,19.102917,,,,,,
472,,Gradac,,42.413715,19.096113,,,,,,
473,,Rogami III (A),,42.471278,19.275025,,,,,,
475,,Plaža Rogami (A),,42.469376,19.25795,,,,,,
476,,Most Andrije Kažića (A),,42.456495,19.260756,,,,,,
479,,Vatrogasna (B),,42.424778,19.268972,,,,,,
480,,Bulevar Stanka Radonjića (A),,42.422068,19.261111,,,,,,
481,,Bulevar Stanka Radonjića (B),,42.422383,19.261103,,,,,,
482,,Uprava za nekretnine (A),,42.426513,19.263859,,,,,,
483,,Uprava za nekretnine (B),,42.425663,19.263071,,,,,,
484,,Bulevar Save Kovačevića (A),,42.430522,19.264918,,,,,,
485,,Bulevar Save Kovačevića (B),,42.430464,19.264562,,,,,,
486,,Zgrada Galenika (A),,42.43099,19.263393,,,,,,
487,,Zgrada Galenika (B),,42.43084,19.263355,,,,,,
488,,Bulevar Crnogorskih Serdara (A),,42.432209,19.257684,,,,,,
489,,Bulevar Crnogorskih Serdara (B),,42.432124,19.257423,,,,,,
490,,Ljubović (A),,42.433761,19.254239,,,,,,
